trial,mean_gap,rho_min,rho_max,lambda,segment_length,sigma1,sigma2,sigma3,cooling,start_temp_ctrl,final_temp_ratio,regret_k,d_wr,max_iterations,q_cap,local_search_rate,local_tabu_iters,local_neighborhood_size,tabu_tenure,swap_prob,local_search_budget_frac
0,0.011688362166421336,0.1,0.23673377807052143,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.13509682372241907,6,16,7,0.5,0.07790758570502879
1,0.009282120926628327,0.1,0.2885738768673559,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.03844913171087135,39,10,7,0.5,0.056356535896356724
2,0.0078086004350053015,0.1,0.290302809357497,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.03686514317508664,19,24,7,0.5,0.16224901258772262
3,0.007727828491020628,0.1,0.2330660933061045,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.14888353032603263,39,21,7,0.5,0.16785313677518177
4,0.008294632893166464,0.1,0.30472090924823403,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.1656974822020088,5,13,7,0.5,0.11805010330359839
5,0.00810961369429421,0.1,0.2139118765070222,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.04798630996612069,26,11,7,0.5,0.06934327536669281
6,0.009412552876947547,0.1,0.30945976800407266,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.17254898594254278,21,9,7,0.5,0.15724561829094014
7,0.005589675718983408,0.1,0.28280609469098406,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.1951608375162867,29,10,7,0.5,0.215880932850599
8,0.009647313439436788,0.1,0.3056857754322385,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.1313335554255643,28,14,7,0.5,0.059164876731132444
9,0.007435873023645145,0.1,0.328297658152272,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.06102168961727844,23,10,7,0.5,0.22329673335105393
10,0.008362418483610108,0.1,0.22439811457341272,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.08842272050704993,34,19,7,0.5,0.1210541400455043
11,0.009685832484875232,0.1,0.2801209815544562,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.14063153138798482,9,13,7,0.5,0.09896218503028525
12,0.007188451909886333,0.1,0.23294227609554036,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.10320683813320085,22,25,7,0.5,0.11485654688306438
13,0.008983630198308263,0.1,0.32327038910102124,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.158296443966627,8,15,7,0.5,0.21100916015424287
14,0.008616647232664717,0.1,0.3369704186278317,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.09220966166401923,9,14,7,0.5,0.16343601029570046
15,0.007564845375984313,0.1,0.25934478515909964,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.14922456872941567,18,23,7,0.5,0.2329095179481087
16,0.0066102388565846696,0.1,0.2369941261540975,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.1025933334657318,21,12,7,0.5,0.16227362683263016
17,0.0038916164575273763,0.1,0.25429946655704166,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.06729348953412835,32,20,7,0.5,0.24946515559783222
18,0.006124993272112813,0.1,0.31336732363006065,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.044899714080354064,36,10,7,0.5,0.22222058193333316
19,0.007212799055718928,0.1,0.28946135460979605,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.04751143748268699,15,21,7,0.5,0.1269534623349
20,0.006521164054528893,0.1,0.237712117997272,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.12725991710500306,34,24,7,0.5,0.1606451792430575
21,0.007008183372533846,0.1,0.3126316699387415,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.18963755504836577,12,25,7,0.5,0.20371974653148922
22,0.009960521107197168,0.1,0.22372366315170047,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.08123158514558815,23,21,7,0.5,0.05064906322034586
23,0.007469509853534442,0.1,0.3142943298578097,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.14997657103578393,21,24,7,0.5,0.15153633492086505
24,0.007960342415141288,0.1,0.29134553171572586,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.0391539481035869,24,24,7,0.5,0.08056785370992697
25,0.007995938143776927,0.1,0.3377740241593553,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.15725194401352724,39,24,7,0.5,0.1697889168920458
26,0.00990420711927122,0.1,0.33180828167347765,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.10794902744521064,12,19,7,0.5,0.21633310587223592
27,0.00743498939491034,0.1,0.3317014398806061,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.07535254257247906,8,15,7,0.5,0.23938988905959885
28,0.009867944207348931,0.1,0.3466976740516001,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.03541762137221818,36,10,7,0.5,0.15654123390590313
29,0.007672957059969786,0.1,0.22476904384611915,0.15,150,33,9,13,0.99975,0.05,0.002,3,3.0,25000,0,0.04263689207367944,35,25,7,0.5,0.1555347574836508
